Team,Home Attack Strength,Home Defense Strength,Away Attack Strength,Away Defense Strength
Liverpool,1.769585253456221,0.6582857142857144,1.5281632653061226,0.4265964450296248
Brighton,0.8057932850559578,0.8816326530612245,0.822857142857143,1.1059907834101383
Norwich,0.9005924950625412,1.5281632653061226,0.3291428571428572,1.1502304147465439
Sheffield United,0.752073732718894,0.7131428571428572,0.822857142857143,0.6125487415809997
Aston Villa,0.9188231123714995,1.5191208791208792,0.8777142857142858,1.415668202764977
West Ham,1.0901909150757076,1.5281632653061226,0.6582857142857144,1.0617511520737328
Newcastle,0.5687952600394997,0.7053061224489796,0.7131428571428572,1.2829493087557604
Leicester,1.327188940092166,0.822857142857143,1.645714285714286,0.6161948650427913
Burnley,0.8847926267281105,1.0422857142857143,0.822857142857143,0.9953917050691244
Tottenham,1.2797893350888743,0.8816326530612245,1.0971428571428572,1.1059907834101383
Bournemouth,0.8057932850559578,1.2342857142857144,0.6582857142857144,1.1502304147465439
Man United,1.2829493087557604,0.6582857142857144,0.8816326530612245,0.8531928900592496
Crystal Palace,0.5308755760368664,0.7131428571428572,0.822857142857143,0.9005924950625412
Southampton,0.7078341013824885,1.7005714285714288,1.116734693877551,0.9953917050691244
Watford,0.7583936800526662,0.9991836734693877,0.6034285714285714,1.1944700460829494
Wolves,0.9290322580645161,0.9325714285714286,1.1755102040816328,0.8057932850559578
Arsenal,1.1502304147465439,1.0971428571428572,0.8861538461538462,0.816731655441333
Chelsea,0.9732718894009216,0.822857142857143,1.7044897959183676,1.1375905200789993
Everton,0.9005924950625412,0.8816326530612245,0.9874285714285714,1.3714285714285717
Man City,1.6845090393477489,0.7595604395604396,1.9200000000000004,0.840552995391705
